Bills,100003
Buccaneers,100031
Chargers,100028
Chiefs,100016
Cowboys,100008
Lions,100010
Packers,100011
Panthers,100004
Patriots,100021
Saints,100022
Steelers,100027
Vikings,100020
Daniel Jones,2562299
Jameis Winston,2552033
Josh Allen,2560955
Kyle Allen,2561177
Russell Wilson,2532975
Alvin Kamara,2558019
Austin Ekeler,2559169
Chris Carson,2558865
Christian McCaffrey,2557997
Dalvin Cook,2557991
David Johnson,2553435
Devonta Freeman,2543583
Frank Gore,2506404
LeVeon Bell,2540175
Mark Ingram II,2495466
Marlon Mack,2558123
Phillip Lindsay,2559947
Rex Burkhead,2539265
Austin Hooper,2555415
Darren Waller,2552408
Eric Ebron,2543466
Evan Engram,2557858
Greg Olsen,2495700
O.J. Howard,2557856
Danny Amendola,2649
DK Metcalf,2562685
JuJu Smith-Schuster,2558149
Julian Edelman,238498
Julio Jones,2495454
Keenan Allen,2540154
Marquise Brown,2562379
Marvin Jones Jr.,2532884
Mike Evans,2543468
Nelson Agholor,2552600
Phillip Dorsett II,2552424
Sterling Shepard,2555295
Tyler Lockett,2552430
